TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1728979596.25;1;7E8;0;8;8;0;0;0;04410C0ECC000000
1728979596.226;1;7E8;0;8;8;0;0;0;0141000000000000
1728979597.579;1;7E8;0;8;8;0;0;0;0341054700000000
1728979597.126;1;7E8;0;8;8;0;0;0;0341112500000000
1728979597.225;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979597.330;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979598.525;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979598.630;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979598.429;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979599.629;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979599.777;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979599.229;1;7E8;0;8;8;0;0;0;0341054700000000
1728979600.777;1;7E8;0;8;8;0;0;0;0341043D00000000
1728979600.830;1;7E8;0;8;8;0;0;0;0141000000000000
1728979600.877;1;7E8;0;8;8;0;0;0;04410C0EB0000000
1728979600.30;1;7E8;0;8;8;0;0;0;0141000000000000
1728979601.329;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979601.430;1;7E8;0;8;8;0;0;0;0141000000000000
1728979602.778;1;7E8;0;8;8;0;0;0;0341112400000000
1728979602.877;1;7E8;0;8;8;0;0;0;0141000000000000
1728979603.981;1;7E8;0;8;8;0;0;0;03410D0500000000
1728979603.329;1;7E8;0;8;8;0;0;0;0341048700000000
1728979604.281;1;7E8;0;8;8;0;0;0;0341112B00000000
1728979605.182;1;7E8;0;8;8;0;0;0;0341112800000000
1728979606.633;1;7E8;0;8;8;0;0;0;0341054700000000
1728979606.884;1;7E8;0;8;8;0;0;0;0441210000000000
1728979606.334;1;7E8;0;8;8;0;0;0;0341049B00000000
1728979607.81;1;7E8;0;8;8;0;0;0;03410D0F00000000
1728979608.33;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979608.185;1;7E8;0;8;8;0;0;0;0341054700000000
1728979609.585;1;7E8;0;8;8;0;0;0;03410F4300000000
1728979609.190;1;7E8;0;8;8;0;0;0;034104B700000000
1728979610.185;1;7E8;0;8;8;0;0;0;0341047C00000000
1728979611.690;1;7E8;0;8;8;0;0;0;03410F4200000000
1728979611.437;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979612.840;1;7E8;0;8;8;0;0;0;03410D1A00000000
1728979612.390;1;7E8;0;8;8;0;0;0;03410F4300000000
1728979613.742;1;7E8;0;8;8;0;0;0;0141000000000000
1728979613.41;1;7E8;0;8;8;0;0;0;0441210000000000
1728979613.141;1;7E8;0;8;8;0;0;0;04410C17D8000000
1728979613.241;1;7E8;0;8;8;0;0;0;03410D1F00000000
1728979614.842;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979615.442;1;7E8;0;8;8;0;0;0;0441210000000000
1728979615.490;1;7E8;0;8;8;0;0;0;04410C11EC000000
1728979615.742;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979616.598;1;7E8;0;8;8;0;0;0;0341113200000000
1728979616.146;1;7E8;0;8;8;0;0;0;0341112400000000
1728979616.341;1;7E8;0;8;8;0;0;0;0341112400000000
1728979617.695;1;7E8;0;8;8;0;0;0;0341112400000000
1728979617.941;1;7E8;0;8;8;0;0;0;0341054800000000
1728979618.898;1;7E8;0;8;8;0;0;0;0341043F00000000
