TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1729788406.417;1;7E8;0;8;8;0;0;0;0141000000000000
1729788406.516;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788407.770;1;7E8;0;8;8;0;0;0;0341043D00000000
1729788407.169;1;7E8;0;8;8;0;0;0;0441210000000000
1729788407.670;1;7E8;0;8;8;0;0;0;0441210000000000
1729788408.816;1;7E8;0;8;8;0;0;0;0341054900000000
1729788408.116;1;7E8;0;8;8;0;0;0;0341112400000000
1729788408.316;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788409.670;1;7E8;0;8;8;0;0;0;0341054900000000
1729788410.873;1;7E8;0;8;8;0;0;0;0141000000000000
1729788410.321;1;7E8;0;8;8;0;0;0;0341113B00000000
1729788410.372;1;7E8;0;8;8;0;0;0;04410C1714000000
1729788410.672;1;7E8;0;8;8;0;0;0;0341113900000000
1729788411.972;1;7E8;0;8;8;0;0;0;0341112C00000000
1729788412.824;1;7E8;0;8;8;0;0;0;0341113300000000
1729788412.226;1;7E8;0;8;8;0;0;0;0341048200000000
1729788412.473;1;7E8;0;8;8;0;0;0;04410C1F0C000000
1729788413.773;1;7E8;0;8;8;0;0;0;03410D0300000000
1729788414.772;1;7E8;0;8;8;0;0;0;0141000000000000
1729788414.573;1;7E8;0;8;8;0;0;0;0341112400000000
1729788415.725;1;7E8;0;8;8;0;0;0;0341054900000000
1729788415.129;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788415.377;1;7E8;0;8;8;0;0;0;0441210000000000
1729788416.76;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788416.277;1;7E8;0;8;8;0;0;0;0341054900000000
1729788416.577;1;7E8;0;8;8;0;0;0;04410C0E7C000000
1729788417.676;1;7E8;0;8;8;0;0;0;0341054900000000
1729788417.877;1;7E8;0;8;8;0;0;0;03410D0400000000
1729788417.576;1;7E8;0;8;8;0;0;0;04410C0E38000000
1729788418.729;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788418.776;1;7E8;0;8;8;0;0;0;0341112600000000
1729788418.981;1;7E8;0;8;8;0;0;0;04410C0E00000000
1729788418.380;1;7E8;0;8;8;0;0;0;0141000000000000
1729788418.480;1;7E8;0;8;8;0;0;0;04410C0DE0000000
1729788419.980;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788420.880;1;7E8;0;8;8;0;0;0;0341046800000000
1729788420.180;1;7E8;0;8;8;0;0;0;0341045E00000000
1729788420.633;1;7E8;0;8;8;0;0;0;0341054A00000000
1729788421.986;1;7E8;0;8;8;0;0;0;0141000000000000
1729788421.235;1;7E8;0;8;8;0;0;0;0341112200000000
1729788421.385;1;7E8;0;8;8;0;0;0;0341043300000000
1729788422.733;1;7E8;0;8;8;0;0;0;03410D0C00000000
1729788422.232;1;7E8;0;8;8;0;0;0;04410C0E9C000000
1729788423.185;1;7E8;0;8;8;0;0;0;0441210000000000
1729788425.736;1;7E8;0;8;8;0;0;0;0341043000000000
1729788425.237;1;7E8;0;8;8;0;0;0;03410D0E00000000
1729788425.489;1;7E8;0;8;8;0;0;0;0341042D00000000
1729788426.936;1;7E8;0;8;8;0;0;0;0441210000000000
1729788426.89;1;7E8;0;8;8;0;0;0;04410C0CA0000000
1729788426.488;1;7E8;0;8;8;0;0;0;0341112300000000
1729788427.88;1;7E8;0;8;8;0;0;0;0341112400000000
1729788427.488;1;7E8;0;8;8;0;0;0;0441210000000000
1729788428.988;1;7E8;0;8;8;0;0;0;0341043D00000000
1729788428.389;1;7E8;0;8;8;0;0;0;0341112A00000000
1729788429.737;1;7E8;0;8;8;0;0;0;0441210000000000
1729788429.989;1;7E8;0;8;8;0;0;0;03410D0B00000000
1729788429.536;1;7E8;0;8;8;0;0;0;03411C1D00000000
